2018-04-11 08:03:51.805
11
-1030.72,-68867.142,-112538.44,16060.097,-1600.5,-66838.13,-3920.38,-825.11,-161.33,-33758.31,-4355.53,83919.4
-4646.331577349498,-74642.15449007781,-42837.43028476866,71988.91158352121,-27586.14999512075,-34512.84233054117,-16668.040324733374,-5890.053633204836,-693.0314218656131,-55266.24973302392,-99363.09607403936,6598.7,
-4646.331577349498,-74642.15449007781,-42837.43028476866,71988.91158352121,-27586.14999512075,-34512.84233054117,-16668.040324733374,-5890.053633204836,-693.0314218656131,-55266.24973302392,-98743.50761784673,3572.5,
-24805.410277817748,-85448.28856050402,-93135.59922807779,18855.664313976005,-4142.761281140978,-51318.73774630982,-35652.62058836638,-84833.60829908215,-5579.016694089019,-46867.552758499456,-96294.491472845,3153.1,
-83626.36222055423,-52176.18384318985,-97001.77731453493,7057.069301038466,-6714.620293615822,-61121.0954086067,-49157.99721219811,-16627.812495123857,-470.83449069609924,-35144.79921932955,-95319.43223289576,2962.8,
-24805.410277817748,-85448.28856050402,-93135.59922807779,18855.664313976005,-4142.761281140978,-83079.22681935149,-20055.37903262241,-4006.4533401555964,-4811.549638717974,-28090.796171595997,-37252.609540367775,2923.2,
-32960.04269979063,-87575.2483333098,-80443.39593376628,72518.93819371142,-9895.758115011355,-83079.22681935149,-20055.37903262241,-4006.4533401555964,-4811.549638717974,-39702.65922941103,-98345.52497087605,2852.5,
-24805.410277817748,-85448.28856050402,-93135.59922807779,18855.664313976005,-4142.761281140978,-51318.73774630982,-35652.62058836638,-78466.25255729383,-10916.468387137182,-36785.45087991093,-95603.52592559374,2796.9,
-2968.907129296931,-90202.88846921471,-72408.39301883377,95484.39935888797,-5856.408895357119,-76963.92877103649,-37968.62937340203,-55955.71145703128,-19801.466545772128,-43624.3083207838,-91884.42215717335,2707.9,
-1878.7233689748828,-93586.08174668545,-81186.99188830821,24820.584476452932,-12231.360063842483,-52810.610888968404,-48017.26587715454,-75300.83052332116,-3764.9576294060244,-55882.46326103442,-83312.05931059956,2689.8,
-22943.920033302682,-96986.66896111135,-46977.12808780235,95610.47076658647,-24434.658531836438,-8280.034616902747,-54583.4697335109,-89391.22792947956,-1988.8742115809,-36832.87295833366,-67530.08864566927,2571.4,
