2018-03-13 11:36:49.417
4
-38.39906891037744,22.176792754722378,-18.45112252401257,-7.9798046277093135,1659.4,
-4.113177891656832,10.82560932799447,-14.3094644400583,-3.2531867973730115,1483.4,
-20.43952359833345,23.842749148686806,-15.69529527213053,-6.711161323184811,1336.4,
-38.20851390287509,2.220691815435041,-34.15027994924193,-11.960915084140606,1314.4,
-36.877120671080455,18.760708794975905,-38.88862708520081,-13.797930695853378,1288.6,
-38.39906891037744,22.176792754722378,-37.00816870250393,-12.071709426109116,1245.6,
-38.20851390287509,2.220691815435041,-38.16564170639627,-13.524186877669528,1244.2,
-33.637096679340004,12.738182339473667,-29.126072391010617,-9.4947756209578,1234.4,
-23.49720477015509,33.42854421332061,-37.00816870250393,-12.071709426109116,1233.6,
-22.985335073526244,15.515415976787414,-33.75796497491565,-9.557731304468096,1227.4,
